Ratón,Grupo,Peri_1,Peri_2,Peri_3,Peri_4,Peri_5,Peri_6,Peri_7,Peri_8,Peri_9,Bazo_1,Bazo_2,Bazo_3,Bazo_4,Bazo_5,Bazo_6,Bazo_7,Bazo_8,Bazo_9
2,C,74.91638421,77.59197114,119.7324357,87.62541746,97.65886377,135.7859573,96.98996237,146.4882925,152.5083616,181.0526347,134.7368364,187.3684133,147.3684231,166.3157786,138.9473653,166.3157786,242.1052595,126.3157884
3,C,95.07042438,92.95774537,99.29577585,103.5211273,NA,NA,NA,NA,NA,144.444443,157.4074187,174.0740746,127.7777785,138.8888882,185.1851842,133.3333333,209.2592696,168.5185283
4,C,96.47887269,130.281691,109.8591512,86.61971489,78.87323611,64.08450926,111.2675995,172.5352056,128.8732427,179.629638,122.2222237,146.2962917,138.8888882,142.5925943,122.2222237,144.444443,261.1111205,157.4074187
5,C,85.33333823,66.66666832,126.4000051,115.7333366,93.33333466,106.6666653,105.6000005,125.8666727,95.46666439,115.5555534,142.2222302,87.40741144,103.7037078,91.85185528,112.5925955,136.2963005,223.7037119,140.7407374
6,C,77.86666928,43.73333398,128.0000024,106.1333329,104.5333356,108.2666726,86.93333553,100.2666662,78.93333414,122.9629621,149.6296251,211.8518525,117.0370324,122.9629621,170.3703722,130.3703708,242.9629662,143.7037092
7,C,85.25714849,67.88571507,121.3714331,103.7714329,99.42857026,114.0571426,98.51428608,67.88571507,57.37143001,113.114755,100,114.7541041,103.2786907,90.16393568,114.7541041,118.0327871,178.6885298,113.114755
8,C,78.85714222,57.60000106,119.7714315,88.00000102,98.057144,118.1714299,103.9999997,86.17143267,45.25714338,101.6393491,131.1475497,113.114755,113.114755,122.9508193,95.08196784,113.114755,159.0164012,113.114755
1,D,120.279725,97.90210145,83.9160851,114.6853159,124.4755221,138.4615385,132.8671293,151.0489558,121.678324,88.57143009,140.9523829,213.3333286,125.7142867,115.2380962,124.7619074,110.4761906,136.1904773,114.2857168
2,D,100.6992995,123.0769231,100.6992995,116.0839149,118.881126,141.2587365,110.4895058,169.2307692,132.8671293,86.6666714,99.04762065,172.3809634,111.4285699,130.4761923,110.4761906,100.9523793,94.28571505,90.47618879
3,D,107.2961411,83.26180669,87.55365297,89.27038829,103.0042948,96.9957132,101.2875595,115.8798336,133.9055784,90.80459204,120.6896519,147.126431,116.0919479,114.9425246,117.2413819,111.4942546,112.6436779,106.8965506
4,D,116.7382013,97.85408086,112.446355,111.5879874,109.8712441,112.446355,115.8798336,130.4721078,108.1545087,80.45977147,134.4827531,149.4252883,104.597704,104.597704,122.9885092,100,48.27585967,106.8965506
5,D,82.11206773,65.51724069,104.3103414,93.74999473,99.56896225,133.8362047,107.7586193,81.89654684,55.17241089,118.3999983,129.6000014,131.1999987,155.2000023,140.7999971,115.1999963,145.6000038,267.1999892,129.6000014
6,D,92.45689352,61.63792901,111.8534439,97.41379355,96.12068431,104.956896,100.6465506,74.35344437,59.91379004,121.6000002,131.1999987,134.3999932,108.7999998,116.800001,110.3999971,79.99999702,196.7999906,145.6000038
